Exporting Your Strategy Backtest Results,open,high,low,close,Volume
6/27/2021,32267.59,34749,32002.21,34709.23,14428.94413
6/28/2021,34708.53,35301.43,33864.99,34493.22,14920.27924
6/29/2021,34493.22,36675,34233.35,35904.28,17917.61278
6/30/2021,35906.17,36094.42,34033,35060,16700.73762
7/1/2021,35060,35066.54,32703.48,33516.11,13210.9654
7/2/2021,33510.93,33972.06,32704.73,33805.02,11765.66827
7/3/2021,33805.01,34953.07,33320,34682.16,6197.81551
7/4/2021,34685.03,35951,34390.53,35284.05,6224.04488
7/5/2021,35284.06,35290.82,33156.86,33697.78,9607.62048
7/6/2021,33697.78,35100,33300,34225.73,10313.02804
7/7/2021,34225.72,35077.46,33770.01,33878.56,9404.91239
7/8/2021,33879.5,33934.62,32111,32875.95,14147.36687
7/9/2021,32875.95,34100,32255.24,33824.26,8320.92082
7/10/2021,33824.25,34267.14,33027.83,33515.35,4906.26016
7/11/2021,33515.35,34607.37,33333.33,34259.23,7023.07942
7/12/2021,34259.22,34670,32665,33091.1,10145.25499
7/13/2021,33077.43,33337.61,32201.12,32734.14,9478.05661
7/14/2021,32734.14,33125.55,31600,32816.39,10355.33307
7/15/2021,32815.75,33187.6,31064.77,31868.68,11273.62605
7/16/2021,31872.49,32259.16,31025.42,31388.06,10006.49235
7/17/2021,31389.57,31949.99,31179.01,31533.91,5695.58861
7/18/2021,31533.9,32450,31125.6,31788.25,5006.49746
7/19/2021,31786.37,31887.82,30429.99,30842.03,11027.01975
7/20/2021,30842.04,31052.65,29301.56,29796.16,18114.16725
7/21/2021,29796.15,32825,29501.02,32135.19,15598.49242
7/22/2021,32152.68,32611.84,31729.68,32287.74,7704.65477
7/23/2021,32287.75,33647.27,32000,33647.26,9004.857
7/24/2021,33647.27,34525,33424.7,34283.01,9864.76694
7/25/2021,34291.67,35451.04,33888.89,35428.26,9434.64435
7/26/2021,35428.25,40593.93,35251.54,37262.77,40354.55991
7/27/2021,37262.76,39550,36413.26,39470.48,24709.11876
7/28/2021,39475.99,40925.56,38803.34,40035.1,27198.34784
7/29/2021,40035.1,40644.85,39229.47,40039.44,11022.43901
7/30/2021,40039.44,42320.57,38342,42237.95,15063.2488
7/31/2021,42233.66,42414.61,41064.11,41495.01,9351.95731
8/1/2021,41499,42605.64,39426,39865.41,10617.68715
8/2/2021,39859.18,40459.68,38690,39149.59,12379.42658
8/3/2021,39149.59,39785.3,37627.21,38191.44,15094.83164
8/4/2021,38189.4,39965.1,37509,39722.41,15327.69046
8/5/2021,39718.9,41447.89,37300,40888.74,28507.86981
8/6/2021,40888.73,43399.26,39876.74,42869.58,20425.12897
8/7/2021,42869.59,44750,42457.27,44637.34,19634.80927
8/8/2021,44628.11,45363.83,43131.97,43829.14,18712.2859
8/9/2021,43829.15,46497.42,42821.3,46285.48,19464.73929
8/10/2021,46280,46718.44,44650.27,45595.66,13756.51512
8/11/2021,45601.82,46781.09,45350.74,45553.49,11628.33477
8/12/2021,45553.1,46223.95,43714.36,44422.14,13169.7914
8/13/2021,44422.15,47953.9,44249.64,47833.64,11794.95661
8/14/2021,47833.64,48176.52,46034.93,47109.65,8130.38204
8/15/2021,47109.64,47400,45525.19,47014.49,7745.71633
8/16/2021,47014.38,48076.52,45676.91,45902.46,10467.6749
8/17/2021,45903.22,47174.62,44405.39,44671.58,12756.16226
8/18/2021,44675.34,46035.27,44216.47,44707.98,10327.51328
8/19/2021,44709.1,47088.08,43955,46765.87,11938.13617
8/20/2021,46769.02,49400,46644.95,49342.4,13184.68475
8/21/2021,49349.99,49821.92,48285.28,48867.02,9574.85076
8/22/2021,48870.21,49526.13,48102.89,49284.63,6243.41095
8/23/2021,49284.38,50505,49012.84,49506.5,10824.28276
8/24/2021,49504.53,49875.9,47600,47682.45,12068.35266
8/25/2021,47682.45,49277,47122.02,48987.33,9289.24621
8/26/2021,48991.57,49365.1,46315.48,46851.47,11651.33499
8/27/2021,46851.47,49185.12,46361.01,49077.57,8924.13671
8/28/2021,49081.08,49309.83,48370,48942.94,4895.71626
8/29/2021,48942.89,49667.1,47801,48802.58,6935.10953
8/30/2021,48802.58,48906.51,46866,46993.71,12249.25182
8/31/2021,46996.8,48259.68,46708.93,47112.5,12919.45428
9/1/2021,47110.33,49125,46537.62,48839.86,13010.85273
9/2/2021,48834.27,50392.19,48620.73,49279.37,14120.3969
9/3/2021,49279.38,51064.44,48349.66,50025,14577.24054
9/4/2021,50025,50558.75,49400,49942.98,7595.50246
9/5/2021,49944.89,51907.08,49500,51789.17,7743.94916
9/6/2021,51789.17,52802.03,51020.08,52698.81,9571.7692
9/7/2021,52698.8,52944.96,42830.77,46894.5,28990.57716
9/8/2021,46894.49,47381.47,44423.49,46060.36,19624.56526
9/9/2021,46059.94,47400,45511.82,46400,13594.66072
9/10/2021,46396.26,47040.76,44140.48,44851.45,14905.56245
9/11/2021,44850.37,45989.94,44730.29,45171.83,6207.3979
9/12/2021,45173.66,46462.98,44754.31,46024.23,6499.87249
9/13/2021,46027.8,46900,43465,44947.72,15015.31735
9/14/2021,44953.23,47274.92,44679.92,47127.22,12644.17879
9/15/2021,47127.81,48475,46705,48148.12,12139.85654
9/16/2021,48144.03,48499.99,47020.82,47753.16,11739.29401
9/17/2021,47753.15,48176.64,46752.67,47303.5,9088.58404
9/18/2021,47306.87,48825.62,47050,48314.56,7491.04881
9/19/2021,48309.86,48379.19,46850.87,47255.92,7086.36056
9/20/2021,47253.71,47358.92,42500,43012.97,27706.69089
9/21/2021,43007.69,43639.88,39600,40719.6,27275.3527
9/22/2021,40736.81,44035.44,40570.42,43575.1,19462.553
9/23/2021,43575.19,45000,43096.73,44897.59,13446.88918
9/24/2021,44896.55,45200,40683.29,42848.92,22451.59156
9/25/2021,42848.44,42998.76,41675,42705.51,7383.33834
9/26/2021,42705.51,43937,40803,43178.02,9971.65982
9/27/2021,43172.17,44366.96,42111,42171.76,10094.78533
9/28/2021,42166.31,42780,40897.7,41026.07,10491.82816
9/29/2021,41030.19,42638.99,40750.12,41522.16,10303.31567
9/30/2021,41519.11,44110.17,41409.67,43824.43,12835.99813
10/1/2021,43828.89,48500,43287.44,48165.76,20095.34602
10/2/2021,48165.76,48359.33,47451,47657.69,7262.64874
10/3/2021,47663.74,49300,47120.11,48233.99,7989.27375
10/4/2021,48233.99,49505,46916.7,49245.54,13938.65627
10/5/2021,49244.13,51906.23,49057.18,51493.99,17828.61151
10/6/2021,51499.77,55757.11,50416.01,55339.48,25869.66386
10/7/2021,55346.95,55356.85,53379,53797.82,15820.84851
10/8/2021,53805.46,56113,53634.41,53963.82,12416.91648
10/9/2021,53965.18,55500,53675,54962.29,7123.06937
10/10/2021,54963.29,56545.24,54112.95,54690.53,9370.20557
10/11/2021,54683.09,57833.23,54411.54,57487.44,13422.43527
10/12/2021,57485.97,57674.55,53873.78,56005.1,15457.02337
10/13/2021,56005.1,57771.33,54236.09,57367.32,14691.02756
10/14/2021,57367.32,58520.71,56832.32,57359.51,12198.03892
10/15/2021,57359.51,62910,56867.11,61695.39,27105.21203
10/16/2021,61690.32,62350,60139.01,60877.42,10161.27282
10/17/2021,60867.05,61744.17,58943.83,61527.11,9153.33717
10/18/2021,61530.07,62675.19,59887.74,62042.41,19798.16337
10/19/2021,62042.4,64500,61333,64303.14,17380.31934
10/20/2021,64303.14,66999,63525,66026.54,19194.46863
10/21/2021,66021.26,66650.85,62050,62204.02,23474.40547
10/22/2021,62204.01,63750,60000,60687.64,17217.72214
10/23/2021,60682.88,61750,59650,61300.01,6708.16454
10/24/2021,61300.02,61491.96,59522.89,60854.48,8573.74126
10/25/2021,60847.91,63726.58,60653.5,63083.54,10496.59493
10/26/2021,63081.96,63290.49,59837.07,60337.62,12181.49589
10/27/2021,60333.19,61488,58100,58455.47,18856.7
10/28/2021,58462.73,62477.47,57653.88,60591.65,19354.5134
10/29/2021,60591.63,62974,60188.73,62276.72,15497.02553
10/30/2021,62287.95,62379.2,60725.01,61892.41,6793.61149
10/31/2021,61896.38,62427.02,60001,61343.68,8371.18427
11/1/2021,61346.17,62500,59500,60949.54,11724.41014
11/2/2021,60956.4,64300,60672.16,63266.51,13694.12966
11/3/2021,63266.5,63568.36,60070,62935.41,12951.8863
11/4/2021,62935.4,63114.14,60728.77,61444.5,11051.7731
11/5/2021,61444.49,62638.59,60777,61006.15,10598.81063
11/6/2021,61006.14,61599.25,60125,61539.31,6366.45301
11/7/2021,61539.3,63327.96,61397.86,63309.13,5596.03889
11/8/2021,63309.12,67792.77,63309.12,67554.84,17661.88728
11/9/2021,67554.13,68568.85,66261.79,66944.66,14996.63956
11/10/2021,66938.76,69000,62800,64912.2,18964.60863
11/11/2021,64912.2,65600,64133.78,64807.59,10259.3396
11/12/2021,64807.73,65477.06,62300,64147.9,13658.64097
11/13/2021,64144.42,64990,63394.17,64400.01,5968.11774
11/14/2021,64400.01,65525,63596.9,65505.02,6081.58656
11/15/2021,65505.03,66339.9,63371,63624.59,10426.56967
11/16/2021,63621.05,63624.6,58638,60107.98,24910.16715
11/17/2021,60101.56,60824.38,58380,60351.51,20907.22982
11/18/2021,60351.51,60977.21,56514.13,56898,26749.22647
11/19/2021,56898.46,58412.12,55625,58122.16,18554.57503
11/20/2021,58122.15,59900,57423.35,59760.76,7584.6666
11/21/2021,59760.76,60070,58509.69,58671.21,6661.3807
11/22/2021,58671.22,59526.51,55641.03,56280.81,15889.23511
11/23/2021,56280.81,57886.03,55377,57566.85,14019.79617
11/24/2021,57562.65,57607.97,55875.01,57162.66,12509.27336
11/25/2021,57158.58,59445.99,57037.04,58987.27,10668.69117
11/26/2021,58994.72,59194,53533,53757.67,25946.31634
11/27/2021,53757.67,55316.67,53642.58,54759.05,7899.31793
11/28/2021,54759.04,57490,53327,57317.17,8222.43935
11/29/2021,57318.51,58908.27,56730,57838.06,13454.24772
11/30/2021,57838.06,59249.77,55910.33,56987.97,18038.80218
12/1/2021,56998.35,59118.84,56465.75,57226.5,16607.32318
12/2/2021,57226.51,57423.69,55845,56521.46,12969.23387
12/3/2021,56521.45,57670.68,51640,53638.04,19567.64538
12/4/2021,53633.02,53876.09,42333,49241.12,39023.34414
12/5/2021,49235.26,49783,47827,49484.22,21727.15258
12/6/2021,49484.21,51105,47200,50529.56,23082.31905
12/7/2021,50529.56,51995,50067.1,50625.48,14107.34652
12/8/2021,50625.24,51250,48650.02,50519.68,13139.0061
12/9/2021,50520.94,50844.86,47323.23,47568.43,15749.43876
12/10/2021,47568.43,50148.49,46900,47170.94,15689.58859
12/11/2021,47170.94,49517.18,46786.78,49407.75,11045.23808
12/12/2021,49424.47,50828.13,48665.43,50089.64,10411.09624
12/13/2021,50089.64,50218.42,45727.92,46727.89,20797.30281
12/14/2021,46727.89,48686.91,46300,48367.43,17107.0485
12/15/2021,48359.23,49500,46530,48884.78,21621.72428
12/16/2021,48878.83,49459.39,47524.66,47634.22,12731.2513
12/17/2021,47634.2,48000,45469.32,46166.5,18556.09347
12/18/2021,46159.87,47368.73,45515.72,46859.46,8170.8673
12/19/2021,46857.49,48351.92,46440.11,46687.19,9518.72163
12/20/2021,46687.2,47548.93,45568,46926.07,16039.39958
12/21/2021,46926.07,49339.31,46645.05,48914.7,15461.42504
12/22/2021,48914.7,49595,48450,48608.62,10753.51356
12/23/2021,48608.61,51397.82,48032.16,50842.2,16627.06073
12/24/2021,50842.06,51878.6,50445.55,50851.38,11693.26797
12/25/2021,50852.31,51171.68,50191.84,50428.31,5550.58587
12/26/2021,50428.31,51295.33,49460,50801.79,6863.40923
12/27/2021,50804.33,52100,50480,50717.77,11596.92908
12/28/2021,50720.35,50720.35,47300.23,47543.09,23116.77017
12/29/2021,47542.2,48149.58,46094.02,46471.24,20326.33567
12/30/2021,46471.24,47926.15,45938.44,47122.08,27413.66802
12/31/2021,47122.09,48574.7,45650,46211.24,19010.25587
1/1/2022,46211.24,47967.12,46205,47733.43,9463.67598
1/2/2022,47733.43,47990,46633.36,47299.07,6833.51307
1/3/2022,47299.06,47583.33,45700,46459.56,10841.82455
1/4/2022,46459.57,47532.89,45515,45814.61,16320.34158
1/5/2022,45817.13,47076.55,42500,43436.04,25067.68922
1/6/2022,43446.34,43794.5,42432.99,43083.76,20780.06223
1/7/2022,43081.79,43144.72,40571.53,41565.18,26122.21436
1/8/2022,41564.57,42318.97,40505.3,41684.84,15454.12727
1/9/2022,41684.84,42831.12,41209.53,41876.52,11074.23939
1/10/2022,41876.52,42250,39650,41824.07,25232.37194
1/11/2022,41824.06,43130,41274.8,42753.44,19697.48067
1/12/2022,42749.84,44342.83,42459.21,43920.37,16250.22916
1/13/2022,43921.21,44453.22,42325,42581.65,14772.10901
1/14/2022,42576.27,43473.98,41752,43090.72,13545.76531
1/15/2022,43090.72,43819.39,42577.35,43098.2,6318.39964
1/16/2022,43098.2,43497.24,42600,43104.34,6481.67225
1/17/2022,43104.34,43200,41567.64,42218.01,10963.86606
1/18/2022,42214.66,42692.71,41287.79,42369.74,13658.51803
1/19/2022,42372.15,42586.03,41126,41674.27,15642.43177
1/20/2022,41672.14,43511.99,40555,40670.97,17860.83738
1/21/2022,40671.77,41127.79,35422,36456.94,50742.91054
1/22/2022,36456.67,36835.93,34017.56,35066.43,30044.13935
1/23/2022,35075.7,36555.55,34625,36282.47,17440.24192
1/24/2022,36275.28,37574.63,32933.33,36693.32,38776.30461
1/25/2022,36687.58,37579.81,35716.15,36980,21597.5365
1/26/2022,36980,38960,36254.97,36840.63,27404.00559
1/27/2022,36846.22,37249,35526.36,37188.37,23601.4766
1/28/2022,37188.37,38023.74,36162.48,37741.9,22716.17908
1/29/2022,37741.9,38748.43,37300,38191.1,13103.20531
1/30/2022,38189.82,38384.07,37365.31,37901.35,10632.5502
1/31/2022,37904.99,38785.04,36640.94,38491.93,19654.99914
2/1/2022,38492.53,39300,38021.53,38716.88,16379.94592
2/2/2022,38714.27,38888.88,36584.29,36923.39,13787.6016
2/3/2022,36923.39,37450.75,36259.01,37329.91,13283.30062
2/4/2022,37324.61,41788.81,37051.36,41614.64,22537.57252
2/5/2022,41613.75,41970,40955.4,41404.85,11187.21557
2/6/2022,41411.59,42719.93,41135.39,42415.16,6447.89943
2/7/2022,42416.06,44533,41678.79,43868.07,20040.51315
2/8/2022,43868.08,45519.24,42688,44085.59,20387.66021
2/9/2022,44087.58,44865.46,43155.5,44416.35,12785.82602
2/10/2022,44416.39,45855,43210,43527.71,20024.53763
2/11/2022,43521.88,43962.13,42000,42386.47,19367.42963
2/12/2022,42386.47,43050,41750,42244.97,8664.434
2/13/2022,42244.91,42781.96,41885.61,42074.99,6208.95528
2/14/2022,42073.37,42876.15,41570,42548.71,14805.99785
2/15/2022,42548.71,44775.96,42433.28,44583.52,14154.74893
2/16/2022,44580.73,44585.69,43330.59,43895.56,9663.45469
2/17/2022,43895.55,44195.62,40099.99,40536.73,18630.12277
2/18/2022,40537.94,40990.9,39425.07,39983.56,16491.02773
2/19/2022,39993.64,40469.82,39655,40101.94,6277.31635
2/20/2022,40101.93,40146.07,38000,38389.03,10972.33604
2/21/2022,38395.99,39506.91,36811,37023,20970.77827
2/22/2022,37022.11,38469.06,36350,38251.48,22767.10214
2/23/2022,38251.67,39276.85,37055,37268.19,15510.12768
2/24/2022,37268.18,39720,34322,38347.3,42124.53317
2/25/2022,38347.3,39716,38016.44,39238.48,20761.6836
2/26/2022,39242.71,40300.5,38592.04,39137.8,8601.68556
2/27/2022,39146.97,39875.71,37020,37717.08,14440.25078
2/28/2022,37716.57,44240.77,37455.71,43192.66,25699.69871
3/1/2022,43189.61,44993.12,42850,44439.95,22596.97541
3/2/2022,44440,45426.45,43342.16,43912.34,17467.00025
3/3/2022,43916.47,44096.45,41811,42464.41,19278.29672
3/4/2022,42464.41,42524.87,38577.01,39166.51,24080.62029
3/5/2022,39166.5,39600,38587.27,39402.43,8440.5306
3/6/2022,39407.87,39730.5,38091.02,38408.38,10099.99985
3/7/2022,38406.82,39556.58,37161.88,37994,19544.29851
3/8/2022,37991.05,39376.65,37851.54,38749.38,19132.78343
3/9/2022,38749.16,42597.84,38655.98,41953.97,24651.68801
3/10/2022,41949.28,42053.84,38560.85,39433.71,20814.02874
3/11/2022,39431.4,40251.51,38234.08,38732.04,15908.58979
3/12/2022,38732.33,39472.17,38654.02,38813.02,5644.16131
3/13/2022,38815.56,39318.19,37580.86,37793.01,8046.39057
3/14/2022,37793.4,39906.39,37560.4,39674.17,13566.82541
3/15/2022,39678.51,39900,38135,39298.1,14924.69079
3/16/2022,39298.11,41717.67,38850,41127.97,22805.49716
3/17/2022,41127.96,41486,40521,40950.33,15717.78861
3/18/2022,40950.23,42396.04,40130,41774.98,17181.16671
3/19/2022,41781.37,42429,41534.89,42232.26,8630.98736
3/20/2022,42232.05,42330.1,40918.72,41287.24,7621.04475
3/21/2022,41287.24,41578.33,40509,41017.71,10996.49101
3/22/2022,41017.7,43389.79,40885.19,42378.26,19913.30087
3/23/2022,42376.03,43036.95,41766.79,42899.71,13745.29007
3/24/2022,42899.71,44241,42627.48,44012.29,21827.94718
3/25/2022,44012.36,45130.91,43605.8,44331.85,19128.15182
3/26/2022,44336.19,44820.58,44091.09,44539.42,7305.19255
3/27/2022,44538.21,46950,44437.22,46850.01,10356.11755
3/28/2022,46850.01,48240,46662.28,47144.92,18787.67764
3/29/2022,47146.92,48124.94,46589,47454.19,15776.66554
3/30/2022,47448.41,47717.01,46544.89,47078.03,12672.46025
3/31/2022,47078.02,47624.09,45211,45528.45,17454.80594
4/1/2022,45525.25,46739.24,44232.86,46296.34,18111.15046
4/2/2022,46296.36,47219.46,45642.89,45826.27,8380.15705
4/3/2022,45826.24,47469.4,45552.07,46422.16,8773.78632
4/4/2022,46420.08,46900,45129.93,46596.83,13802.45549
4/5/2022,46594.39,47200,45371.16,45506.5,14390.58758
4/6/2022,45509.92,45523.25,43115.26,43166.7,24250.38717
4/7/2022,43166.71,43908.58,42734.69,43452.18,13245.38068
4/8/2022,43444.71,44000,42112,42262.02,11929.53569
4/9/2022,42261.9,42816.38,42118.96,42766.93,4805.73132
4/10/2022,42766.46,43443.32,41885.86,42165.96,5770.50781
4/11/2022,42165.96,42424.14,39204.59,39535.87,17229.38723
4/12/2022,39535.88,40705.68,39250,40086.23,13866.43288
4/13/2022,40086.7,41570.88,39550,41146.68,11457.64826
4/14/2022,41147.15,41512.43,39573.8,39954.08,11020.38629
4/15/2022,39953.62,40850,39770.22,40554.58,6448.02596
4/16/2022,40554.6,40699.99,40005,40387.6,4084.27737
4/17/2022,40387.6,40605.46,39553.07,39683.54,4833.32947
4/18/2022,39681.11,41100,38550,40803.58,13090.80854
4/19/2022,40810.87,41772.94,40571.99,41503.85,10218.12822
4/20/2022,41501.56,42209.58,40900,41377.61,14609.29846
4/21/2022,41371.88,43109.47,39744.75,40480.81,17204.36793
4/22/2022,40483.38,40802.65,39174.8,39712.25,16871.33546
4/23/2022,39712.2,39993.82,39296.19,39465.87,6957.18149
4/24/2022,39459.63,39945.74,39000,39464.56,6436.47111
4/25/2022,39463.75,40605.3,38210.24,40439.22,20515.8896
4/26/2022,40440.9,40817.16,37700,38113.82,21648.12866
4/27/2022,38118.43,39470,37882.83,39251.11,20832.21095
4/28/2022,39251.02,40400,38883.83,39743.22,16718.84501
